player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Isaac Hayden,2018,England,23,25,1859.0,6.92,1,4,0.9,54,43,40,0,6.610000000000001,,,6.765000000000001,0.048413125336202255,0.19365250134480902,0.04357181280258204,2.614308768154922,2.0817643894566973,1.9365250134480902,0.0,529,False,False,False,True,6.74
Isaac Hayden,2019,England,24,29,2223.0,6.74,1,2,1.2,52,27,38,0,6.92,6.610000000000001,0.3099999999999987,6.756666666666668,0.04048582995951417,0.08097165991902834,0.048582995951417005,2.1052631578947367,1.0931174089068827,1.5384615384615385,0.0,576,False,False,False,True,6.83
Isaac Hayden,2020,England,25,24,1942.0,6.83,0,0,0.7,47,29,43,0,6.74,6.92,-0.17999999999999972,6.830000000000001,0.0,0.0,0.032440782698249224,2.1781668383110198,1.3439752832131822,1.9927909371781667,0.0,625,False,False,False,True,6.6
Isaac Lihadji,2020,France,18,15,196.0,6.67,0,1,0.7,10,4,1,0,,,,6.67,0.0,0.4591836734693877,0.3214285714285714,4.591836734693878,1.8367346938775508,0.4591836734693877,0.0,324,False,False,False,True,6.82
Isaac Mbenza,2017,Belgium,21,38,2096.0,6.76,8,0,7.0,45,11,4,0,,,,6.76,0.34351145038167935,0.0,0.3005725190839695,1.9322519083969467,0.4723282442748092,0.17175572519083968,0.0,441,False,True,False,False,6.55
Isaac Mbenza,2018,Belgium,22,22,986.0,6.55,1,1,1.0,18,9,5,0,6.76,,,6.654999999999999,0.09127789046653144,0.09127789046653144,0.09127789046653144,1.643002028397566,0.821501014198783,0.4563894523326572,0.0,484,False,True,False,False,6.637640466470133
Isaac Success,2017,Nigeria,21,9,492.0,6.675433066109297,0,1,0.5,14,7,5,0,,,,6.675433066109297,0.0,0.1829268292682927,0.09146341463414635,2.5609756097560976,1.2804878048780488,0.9146341463414633,0.0,441,False,False,False,True,6.75
Isaac Success,2018,Nigeria,22,30,1052.0,6.75,1,1,3.5,39,12,2,0,6.675433066109297,,,6.712716533054648,0.08555133079847908,0.08555133079847908,0.2994296577946768,3.336501901140684,1.0266159695817492,0.17110266159695817,0.0,484,False,True,False,False,6.87
Isaac Success,2021,Nigeria,25,22,911.0,6.87,2,6,2.1,22,2,2,0,6.75,6.675433066109297,0.07456693389070335,6.765144355369766,0.19758507135016465,0.5927552140504939,0.2074643249176729,2.173435784851811,0.19758507135016465,0.19758507135016465,0.0,625,False,True,False,False,6.77
Isaac Success,2022,Nigeria,26,30,1815.0,6.77,1,6,3.3,53,4,4,0,6.87,6.75,0.1200000000000001,6.796666666666667,0.04958677685950413,0.2975206611570248,0.16363636363636364,2.628099173553719,0.1983471074380165,0.1983471074380165,0.0,676,False,True,False,False,6.69
Isak Hien,2022,Sweden,23,32,2607.0,6.74,0,0,0.3,54,36,31,0,,,,6.74,0.0,0.0,0.010356731875719217,1.8642117376294591,1.242807825086306,1.0701956271576525,0.0,529,True,False,False,False,6.759999999999999
Isco,2017,Spain,25,30,1774.0,7.22,7,7,5.4,220,12,15,0,,,,7.22,0.35512965050732803,0.35512965050732803,0.273957158962796,11.161217587373168,0.6087936865839909,0.7609921082299886,0.0,625,False,False,False,True,6.83
Isco,2018,Spain,26,27,1192.0,6.83,3,2,5.1,119,14,6,0,7.22,,,7.025,0.22651006711409394,0.15100671140939598,0.38506711409395966,8.98489932885906,1.0570469798657718,0.4530201342281879,0.0,676,False,False,False,True,6.97
